Waktu,USD_beli,USD_jual,SGD_beli,SGD_jual,EUR_beli,EUR_jual,AUD_beli,AUD_jual
07-04-2021 14:38:28,14510.0,14540.0,10837.01,10867.2,17220.21,17272.31,11077.01,11117.19
07-04-2021 14:38:58,14510.0,14540.0,10837.01,10867.2,17220.21,17272.31,11077.01,11117.19
07-04-2021 14:39:29,14510.0,14540.0,10837.01,10867.2,17220.21,17272.31,11077.01,11117.19
07-04-2021 14:39:59,14510.0,14540.0,10837.01,10867.2,17220.21,17272.31,11077.01,11117.19
07-04-2021 14:40:29,14515.0,14545.0,10837.51,10867.69,17215.98,17265.16,11072.12,11110.84
07-04-2021 14:40:59,14515.0,14545.0,10837.51,10867.69,17215.98,17265.16,11072.12,11110.84
07-04-2021 14:41:29,14515.0,14545.0,10837.51,10867.69,17215.98,17265.16,11072.12,11110.84
07-04-2021 14:41:59,14515.0,14545.0,10837.51,10867.69,17215.98,17265.16,11072.12,11110.84
07-04-2021 14:42:29,14515.0,14545.0,10837.51,10867.69,17215.98,17265.16,11072.12,11110.84
07-04-2021 14:43:00,14515.0,14545.0,10837.51,10867.69,17215.98,17265.16,11072.12,11110.84
07-04-2021 14:43:30,14515.0,14545.0,10837.51,10867.69,17215.98,17265.16,11072.12,11110.84
07-04-2021 14:44:00,14515.0,14545.0,10837.51,10867.69,17215.98,17265.16,11072.12,11110.84
07-04-2021 14:44:30,14515.0,14545.0,10837.51,10867.69,17215.98,17265.16,11072.12,11110.84
07-04-2021 14:45:00,14510.0,14540.0,10833.77,10863.95,17215.85,17269.41,11068.3,11107.02
07-04-2021 14:45:30,14510.0,14540.0,10833.77,10863.95,17215.85,17269.41,11068.3,11107.02
07-04-2021 14:46:00,14510.0,14540.0,10833.77,10863.95,17215.85,17269.41,11068.3,11107.02
07-04-2021 14:46:30,14510.0,14540.0,10833.77,10863.95,17215.85,17269.41,11068.3,11107.02
07-04-2021 14:47:01,14510.0,14540.0,10833.77,10863.95,17215.85,17269.41,11068.3,11107.02
07-04-2021 14:47:31,14510.0,14540.0,10833.77,10863.95,17215.85,17269.41,11068.3,11107.02
07-04-2021 14:48:01,14510.0,14540.0,10833.77,10863.95,17215.85,17269.41,11068.3,11107.02
07-04-2021 14:48:32,14510.0,14540.0,10833.77,10863.95,17215.85,17269.41,11068.3,11107.02
07-04-2021 14:49:02,14510.0,14540.0,10833.77,10863.95,17215.85,17269.41,11068.3,11107.02
07-04-2021 14:49:32,14510.0,14540.0,10833.77,10863.95,17215.85,17269.41,11068.3,11107.02
07-04-2021 14:50:02,14510.0,14540.0,10833.77,10863.95,17215.85,17269.41,11068.3,11107.02
07-04-2021 14:50:32,14510.0,14540.0,10833.77,10863.95,17215.85,17269.41,11068.3,11107.02
07-04-2021 14:51:03,14510.0,14540.0,10833.77,10863.95,17215.85,17269.41,11068.3,11107.02
07-04-2021 14:51:33,14510.0,14540.0,10833.77,10863.95,17215.85,17269.41,11068.3,11107.02
07-04-2021 14:52:03,14510.0,14540.0,10833.77,10863.95,17215.85,17269.41,11068.3,11107.02
07-04-2021 14:52:34,14510.0,14540.0,10833.77,10863.95,17215.85,17269.41,11068.3,11107.02
07-04-2021 14:53:04,14510.0,14540.0,10833.77,10863.95,17215.85,17269.41,11068.3,11107.02
07-04-2021 14:53:34,14510.0,14540.0,10833.77,10863.95,17215.85,17269.41,11068.3,11107.02
07-04-2021 14:54:04,14510.0,14540.0,10833.77,10863.95,17215.85,17269.41,11068.3,11107.02
07-04-2021 14:54:34,14510.0,14540.0,10833.77,10863.95,17215.85,17269.41,11068.3,11107.02
07-04-2021 14:55:05,14510.0,14540.0,10833.77,10863.95,17215.85,17269.41,11068.3,11107.02
